Course,Handed,Sex,Verbal,Age
Natural,right,male,530,19.33
Natural,left,male,550,19.33
Natural,right,male,510,19.67
Natural,right,female,680,21.17
Natural,right,female,600,19.08
Natural,right,male,520,22.58
Natural,right,female,600,19.5
Natural,left,male,540,20.67
Business,right,male,500,18.58
Business,right,female,620,17.67
Business,right,male,560,19.75
 Social,left,male,550,20.42
Business,right,female,640,20
Business,right,female,500,18.92
Business,right,male,530,20.67
Business,left,male,500,19.08
Business,right,male,540,19.33
Business,right,female,NA,19.42
Business,left,female,590,22.75
Natural,right,male,580,19.83
Business,right,male,580,19
Business,right,female,580,19
Business,right,female,590,18.92
Business,right,female,680,19.25
Business,right,male,600,21.67
Business,right,male,680,21.92
Business,left,male,420,28.42
 Social,left,female,640,20.17
 Social,right,male,530,22.92
Business,right,male,600,19.5
Business,right,male,500,21.58
Business,right,male,530,19.92
Business,right,male,NA,20.25
 Social,right,female,600,40
Business,right,male,NA,19.5
 Social,right,female,NA,44
Natural,right,female,450,NA
Business,right,male,540,18.33
Business,right,male,450,19.08
Business,right,male,700,23.42
Business,right,female,NA,19.67
Business,right,female,490,21.67
 Social,right,female,600,19.67
 Social,right,female,NA,19.33
 Social,right,female,550,19
 Social,right,female,730,19.58
 Social,left,female,630,19.5
 Social,right,female,NA,19
 Social,right,female,670,19.58
 Social,left,female,580,19.5
 Social,right,male,580,19.83
 Social,right,male,620,19.58
 Social,right,female,580,19.67
 Social,right,female,530,18.92
 Social,left,female,NA,19
 Social,right,male,590,20.92
 Social,right,male,340,18.92
 Social,right,male,640,19.25
 Social,right,female,640,19.92
 Social,right,female,740,19.58
 Social,right,female,580,19.42
 Social,right,female,NA,19.67
 Social,right,female,520,20.33
 Social,right,male,590,20.67
 Social,right,female,NA,19.33
 Social,right,male,560,22.92
 Social,right,female,560,19.75
 Social,right,female,580,19.67
 Social,right,female,NA,20.5
 Social,right,female,550,19.42
 Social,right,male,NA,19
 Social,right,female,650,19.58
 Social,right,female,600,19.17
 Social,right,female,620,20.25
 Social,right,male,540,21.17
 Social,left,male,600,19.83
 Social,right,female,NA,19.83
 Social,right,female,620,19.17
 Social,right,female,NA,20.67
 Social,right,female,590,45.33
 Social,right,female,620,19.83
 Social,left,female,600,22.25
 Social,right,female,470,20.92
 Social,left,male,580,23.83
 Social,right,female,600,19.83
 Social,left,female,590,20.42
 Social,right,male,560,20.25
 Social,right,female,660,20
 Social,right,female,420,22
 Social,left,female,630,19.92
 Social,right,female,540,19.42
 Social,right,female,700,20.25
 Social,right,male,690,19.58
Business,right,male,650,20.25
 Social,right,female,620,24.33
 Social,right,male,670,20.92
 Social,right,male,480,20.42
 Social,right,male,560,18.75
 Social,right,female,550,19.83
 Social,right,male,NA,22.58
 Social,right,female,730,20
 Social,left,female,520,28.08
 Social,left,female,520,21.83
 Social,right,female,NA,19.83
 Social,right,female,510,19.42
 Social,right,female,410,19.17
 Social,right,female,NA,20.83
 Social,right,male,NA,21.67
 Social,right,male,530,25.42
 Social,right,female,NA,20
 Social,right,female,450,32.83
 Social,right,female,580,20.42
 Social,right,male,650,22.92
 Social,left,male,580,22.33
 Social,right,female,550,19
 Social,right,female,520,19.75
 Social,right,female,NA,19.92
 Social,right,female,500,20.42
 Social,right,male,540,20
 Social,right,male,520,19.08
 Social,right,female,NA,19.92
 Social,right,female,650,19.58
 Social,right,female,600,19.42
 Social,right,female,650,19.75
 Social,right,female,580,19.67
 Social,right,female,650,19.75
 Social,right,male,670,20.92
 Social,left,female,640,20.08
 Social,right,male,680,24.08
 Social,left,female,NA,19.5
 Social,right,female,550,21.25
 Social,right,female,NA,20.08
 Social,right,female,750,19.17
 Social,right,male,580,19.42
 Social,right,female,450,19.42
 Social,right,male,490,20.08
 Social,right,female,540,19.08
 Social,right,female,490,19.17
 Social,right,female,NA,18.5
 Social,right,male,NA,37.42
 Social,right,female,640,20.08
 Social,right,female,NA,20.92
 Social,right,female,540,21.5
 Social,right,female,NA,20.83
 Social,right,female,NA,25.25
 Social,right,female,500,19.25
 Social,right,female,530,24.42
 Social,right,female,550,18.33
 Social,left,female,610,20
 Social,right,male,510,25
 Social,right,female,600,20.75
 Social,right,female,690,18.67
 Social,right,female,550,18.33
 Social,right,female,NA,19.75
 Social,left,male,NA,24.08
 Social,right,female,480,29.58
 Social,right,male,590,22
 Social,right,female,580,19.33
 Social,left,male,650,21.33
 Social,left,female,600,19.33
